TAMAÑO;TIEMPO(NS)
1000;1389
2000;690
3000;646
4000;857
5000;608
6000;597
7000;592
8000;3050
9000;175
10000;287
11000;150
12000;158
13000;142
14000;154
15000;143
16000;203
17000;152
18000;154
19000;573
20000;351
21000;657
22000;213
23000;686
24000;209
25000;487
26000;261
27000;485
28000;242
29000;587
30000;541
31000;2012
32000;403
33000;550
34000;256
35000;389
36000;224
37000;195
38000;177
39000;186
40000;163
41000;195
42000;182
43000;228
44000;3969
45000;551
46000;595
47000;4143
48000;739
49000;530
50000;587
