TAMAÑO;TIEMPO(NS)
1000;12911
2000;9349
3000;18768
4000;15992
5000;23698
6000;7165
7000;44363
8000;30263
9000;72104
10000;17669
11000;7580
12000;20765
13000;20181
14000;26918
15000;20304
16000;2129
17000;812
18000;1032
19000;2011
20000;868
21000;1061
22000;1426
23000;2311
24000;1592
25000;2231
26000;1684
27000;3358
28000;2306
29000;2138
30000;1457
31000;957
32000;1831
33000;1931
34000;2248
35000;1225
36000;3264
37000;1309
38000;2550
39000;1974
40000;1822
41000;586
42000;2073
43000;2733
44000;1315
45000;825
46000;1069
47000;1825
48000;3857
49000;1601
50000;2067
