TAMAÑO;TIEMPO(NS)
1000;829869
2000;1739778
3000;473022
4000;911650
5000;1301413
6000;1835462
7000;2482591
8000;3290142
9000;4250891
10000;5054714
11000;6071017
12000;7274309
13000;8488681
14000;9821690
15000;11577359
16000;13666852
17000;14832659
18000;16493009
19000;18010676
20000;20091348
21000;22428128
22000;24139812
23000;26656564
24000;28868910
25000;31154896
26000;34695080
27000;36399400
28000;40772400
29000;43744356
30000;45175792
31000;47950092
32000;51617564
33000;54394796
34000;58272804
35000;61385960
36000;65571776
37000;68550584
38000;72729912
39000;76832832
40000;80337592
41000;85284192
42000;91894216
43000;93595880
44000;97176424
45000;101764312
46000;106959456
47000;110736568
48000;115714616
49000;127730496
50000;125541360
