TAMAÑO;TIEMPO(NS)
1000;176869
2000;133851
3000;207211
4000;273317
5000;324807
6000;418666
7000;498710
8000;628598
9000;714657
10000;527870
11000;585531
12000;639736
13000;737595
14000;753319
15000;823662
16000;882092
17000;953621
18000;997173
19000;1031506
20000;1155529
21000;1233830
22000;1262718
23000;1255637
24000;1459693
25000;1446597
26000;1635066
27000;1732200
28000;1629059
29000;1886890
30000;1666105
31000;1910050
32000;1887012
33000;1907806
34000;1923832
35000;2011772
36000;2041747
37000;2106214
38000;2158493
39000;2265821
40000;2266195
41000;2423531
42000;2435214
43000;2641734
44000;2611162
45000;2684815
46000;2886464
47000;2882216
48000;3072979
49000;3256386
50000;3267341
