TAMAÑO;TIEMPO(NS)
1000;1413595
2000;1229309
3000;905744
4000;1591458
5000;2313310
6000;3255412
7000;4422446
8000;6073291
9000;7153701
10000;8956411
11000;10671313
12000;12485467
13000;15366739
14000;17666456
15000;19552648
16000;21849532
17000;24962734
18000;27660134
19000;30694432
20000;34105888
21000;37328052
22000;41413896
23000;44757176
24000;48803288
25000;52879396
26000;57666524
27000;61609404
28000;67527528
29000;70978440
30000;75807072
31000;80934520
32000;86353432
33000;91398768
34000;96845472
35000;102620840
36000;109034176
37000;114940912
38000;121034960
39000;127871920
40000;134507696
41000;140937920
42000;150097472
43000;154271584
44000;161348144
45000;168849168
46000;176437040
47000;183981312
48000;191363776
49000;200041712
50000;207858272
