TAMAÑO;TIEMPO(NS)
1000;557370
2000;368811
3000;353881
4000;414693
5000;439231
6000;509301
7000;647554
8000;807685
9000;841785
10000;1104174
11000;1094288
12000;1266284
13000;1352221
14000;1491102
15000;1538681
16000;2106656
17000;1818502
18000;2016717
19000;2140404
20000;2439036
21000;2842779
22000;2387951
23000;2596697
24000;3020300
25000;3010540
26000;3081519
27000;3050848
28000;3428181
29000;3558858
30000;3621415
31000;3985042
32000;5282731
33000;4748673
34000;4432798
35000;4667255
36000;4890294
37000;5324710
38000;4990855
39000;5606236
40000;5827705
41000;6804146
42000;6946409
43000;5697740
44000;6226823
45000;6251228
46000;6308084
47000;6204119
48000;7537007
49000;6430203
50000;6979350
